id	nombre	longitud	latitud	provincia	habitantes
1	Bahía Blanca	-62.27243	-38.71959	1	276546
2	Ciudad Autónoma de Buenos Aires	-58.45	-34.6	7	2776138
3	Concordia	-58.02089	-31.39296	8	145210
4	Córdoba	-64.18105	-31.4135	5	1428214
5	Cutral-Có	-69.23052	-38.93424	15	47380
6	Formosa	-58.17814	-26.17753	9	221383
7	General Acha	-64.60431	-37.37698	11	12536
8	General Pico	-63.75682	-35.65662	11	57029
9	Gualeguaychú	-58.51722	-33.00937	8	78676
10	La Rioja	-66.85067	-29.41105	12	162620
11	Mar del Plata	-57.55754	-38.00228	1	553935
12	Mendoza	-68.82717	-32.89084	13	876884
13	Monte Quemado	-62.82777	-25.87222	22	12543
14	Neuquén	-68.0591	-38.95161	15	242092
15	Nueve de Julio	-60.88313	-35.44437	1	34718
16	Paraná	-60.5238	-31.73197	8	262295
17	Pergamino	-60.57357	-33.88995	1	87652
18	Posadas	-55.89608	-27.36708	14	323739
19	Presidencia Roque Sáenz Peña	-60.43876	-26.78522	3	81879
20	Reconquista	-59.65	-29.15	21	90184
21	Resistencia	-58.98389	-27.46056	3	387158
22	Río Cuarto	-64.34992	-33.13067	5	153757
23	Rosario	-60.63932	-32.94682	21	1173533
24	Salta	-65.41166	-24.7859	17	512686
25	San Fernando del Valle de Catamarca	-65.78524	-28.46957	2	188812
26	San Juan	-68.53639	-31.5375	18	447048
27	San Luis	-66.33563	-33.29501	19	183982
28	San Miguel de Tucumán	-65.2226	-26.82414	24	781023
29	San Rafael	-68.33007	-34.61772	13	109163
30	San Ramón de la Nueva Orán	-64.32426	-23.13705	17	74059
31	Santa Rosa	-64.28333	-36.61667	11	111424
32	Santiago del Estero	-64.26149	-27.79511	22	354692
33	Tandil	-59.13316	-37.32167	1	104325
34	Tostado	-61.76917	-29.23202	21	14000
35	Veinticinco de Mayo	-67.71638	-37.7741	11	6962
36	Venado Tuerto	-61.96885	-33.74556	21	72340
37	Villa María	-63.24016	-32.40751	5	92453
38	Villa Mercedes	-65.45783	-33.67571	19	96781
